h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
0.2,   1.7029e-03, 1.7029e-03, 1.7029e-03, 1.7029e-03, 1.9543e-03, 1.9543e-03, 1.9543e-03, 1.9543e-03, 2.9457e-03, 2.9457e-03, 2.9457e-03, 2.9457e-03
0.1,   2.7749e-04, 2.7749e-04, 2.7749e-04, 2.7749e-04, 3.1504e-04, 3.1504e-04, 3.1504e-04, 3.1504e-04, 5.0135e-04, 5.0135e-04, 5.0135e-04, 5.0135e-04
0.05,  3.6510e-05, 3.6510e-05, 3.6510e-05, 3.6510e-05, 4.1293e-05, 4.1293e-05, 4.1293e-05, 4.1293e-05, 6.5991e-05, 6.5991e-05, 6.5991e-05, 6.5991e-05
0.025, 4.6186e-06, 4.6186e-06, 4.6186e-06, 4.6186e-06, 5.2123e-06, 5.2123e-06, 5.2123e-06, 5.2123e-06, 8.3977e-06, 8.3977e-06, 8.3977e-06, 8.3977e-06
