h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
2.0440e-01, 2.4545e-03, 2.4545e-03, 2.4545e-03, 2.4545e-03, 2.8039e-03, 2.8039e-03, 2.8039e-03, 2.8039e-03, 4.8469e-03, 4.8469e-03, 4.8469e-03, 4.8469e-03
1.0208e-01, 4.5906e-04, 4.5906e-04, 4.5906e-04, 4.5906e-04, 5.2450e-04, 5.2450e-04, 5.2450e-04, 5.2450e-04, 9.7951e-04, 9.7951e-04, 9.7951e-04, 9.7951e-04
5.1258e-02, 6.0493e-05, 6.0493e-05, 6.0493e-05, 6.0493e-05, 6.8982e-05, 6.8982e-05, 6.8982e-05, 6.8982e-05, 1.2747e-04, 1.2747e-04, 1.2747e-04, 1.2747e-04
2.5679e-02, 8.1333e-06, 8.1333e-06, 8.1333e-06, 8.1333e-06, 9.2595e-06, 9.2595e-06, 9.2595e-06, 9.2595e-06, 1.6576e-05, 1.6576e-05, 1.6576e-05, 1.6576e-05
