h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
2.0440e-01, 9.8432e-03, 2.2106e-02, 1.8803e-02, 3.7885e-02, 3.6712e-02, 7.0145e-02, 5.8039e-02, 1.4664e-01, 3.9897e-01, 5.0783e-01, 4.2275e-01, 1.5748e+00
1.0208e-01, 6.5642e-03, 1.4150e-02, 1.1495e-02, 2.5626e-02, 2.5401e-02, 4.6473e-02, 3.6937e-02, 1.0399e-01, 2.8258e-01, 3.2673e-01, 2.8847e-01, 1.1613e+00
5.1258e-02, 3.9551e-03, 8.2955e-03, 6.5777e-03, 1.5582e-02, 1.5367e-02, 2.7797e-02, 2.1777e-02, 6.4258e-02, 1.6511e-01, 2.0875e-01, 1.8259e-01, 7.1160e-01
2.5679e-02, 2.2134e-03, 4.5694e-03, 3.5776e-03, 8.7844e-03, 8.5801e-03, 1.5569e-02, 1.2118e-02, 3.6481e-02, 9.1289e-02, 1.2523e-01, 1.0731e-01, 4.1142e-01
