h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
0.2, 9.6042e-03, 2.1373e-02, 1.8042e-02, 3.6810e-02, 3.5953e-02, 6.8133e-02, 5.5749e-02, 1.4363e-01, 3.9373e-01, 4.8659e-01, 4.0765e-01, 1.5619e+00
0.1, 6.3110e-03, 1.3564e-02, 1.0984e-02, 2.4656e-02, 2.4423e-02, 4.4577e-02, 3.5341e-02, 1.0014e-01, 2.7011e-01, 3.1088e-01, 2.7927e-01, 1.1147e+00
0.05, 3.7568e-03, 7.8764e-03, 6.2156e-03, 1.4822e-02, 1.4607e-02, 2.6443e-02, 2.0640e-02, 6.1226e-02, 1.5699e-01, 1.9941e-01, 1.7523e-01, 6.7928e-01
0.025, 2.0865e-03, 4.3063e-03, 3.3617e-03, 8.2780e-03, 8.0836e-03, 1.4700e-02, 1.1416e-02, 3.4432e-02, 8.4552e-02, 1.1771e-01, 1.0192e-01, 3.8280e-01
