h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
2.0440e-01, 8.7134e-04, 1.8823e-03, 1.6378e-03, 3.2238e-03, 2.8360e-03, 6.0333e-03, 5.3142e-03, 1.2088e-02, 2.5066e-02, 4.5008e-02, 4.6892e-02, 1.3624e-01
1.0208e-01, 1.4936e-04, 3.1170e-04, 2.7407e-04, 5.4909e-04, 5.2212e-04, 1.0988e-03, 9.8656e-04, 2.2459e-03, 5.0691e-03, 1.0601e-02, 9.4534e-03, 3.0269e-02
5.1258e-02, 2.0567e-05, 4.2103e-05, 3.7196e-05, 7.6414e-05, 7.3271e-05, 1.5421e-04, 1.4047e-04, 3.2261e-04, 7.5293e-04, 1.5170e-03, 1.5178e-03, 4.3255e-03
2.5679e-02, 2.5978e-06, 5.4097e-06, 4.7222e-06, 9.8459e-06, 9.2533e-06, 1.9799e-05, 1.7808e-05, 4.1471e-05, 9.6460e-05, 2.0302e-04, 1.8763e-04, 5.6545e-04
