h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
0.2,   2.1920e-03, 2.1920e-03, 2.1920e-03, 2.1920e-03, 2.4589e-03, 2.4589e-03, 2.4589e-03, 2.4589e-03, 4.1387e-03, 4.1387e-03, 4.1387e-03, 4.1387e-03
0.1,   4.6125e-04, 4.6125e-04, 4.6125e-04, 4.6125e-04, 5.1899e-04, 5.1899e-04, 5.1899e-04, 5.1899e-04, 9.0732e-04, 9.0732e-04, 9.0732e-04, 9.0732e-04
0.05,  9.7352e-05, 9.7352e-05, 9.7352e-05, 9.7352e-05, 1.0914e-04, 1.0914e-04, 1.0914e-04, 1.0914e-04, 2.1693e-04, 2.1693e-04, 2.1693e-04, 2.1693e-04
0.025, 2.2842e-05, 2.2842e-05, 2.2842e-05, 2.2842e-05, 2.5519e-05, 2.5519e-05, 2.5519e-05, 2.5519e-05, 5.0824e-05, 5.0824e-05, 5.0824e-05, 5.0824e-05
