h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
2.0440e-01, 1.2619e-03, 2.5938e-03, 2.3108e-03, 5.0047e-03, 4.0652e-03, 8.0666e-03, 7.3201e-03, 1.7877e-02, 4.2775e-02, 6.0341e-02, 6.1942e-02, 2.1135e-01
1.0208e-01, 2.5550e-04, 5.4500e-04, 4.4902e-04, 1.0807e-03, 8.7881e-04, 1.9045e-03, 1.5917e-03, 4.1275e-03, 1.1483e-02, 2.2714e-02, 1.5075e-02, 5.9992e-02
5.1258e-02, 4.8800e-05, 8.9653e-05, 7.6630e-05, 1.9707e-04, 1.7189e-04, 3.1816e-04, 2.8012e-04, 7.3786e-04, 2.3214e-03, 3.7557e-03, 3.5694e-03, 1.1291e-02
2.5679e-02, 1.0295e-05, 1.8265e-05, 1.5142e-05, 3.9716e-05, 3.6514e-05, 6.4238e-05, 5.4145e-05, 1.4331e-04, 6.7298e-04, 1.1385e-03, 8.4411e-04, 2.4789e-03
