h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
0.2,   7.6644e-04, 1.6632e-03, 1.4785e-03, 2.8339e-03, 2.5467e-03, 5.3072e-03, 4.7803e-03, 1.0584e-02, 2.3384e-02, 3.9576e-02, 4.3978e-02, 1.1438e-01
0.1,   1.2690e-04, 2.7451e-04, 2.4894e-04, 4.7508e-04, 4.4329e-04, 9.5048e-04, 8.7865e-04, 1.9397e-03, 4.2911e-03, 9.0706e-03, 8.5173e-03, 2.5507e-02
0.05,  1.7121e-05, 3.6846e-05, 3.3576e-05, 6.4982e-05, 6.0961e-05, 1.3044e-04, 1.2178e-04, 2.7166e-04, 6.0180e-04, 1.2902e-03, 1.2313e-03, 3.6604e-03
0.025, 2.1740e-06, 4.6769e-06, 4.2647e-06, 8.2788e-06, 7.7835e-06, 1.6625e-05, 1.5541e-05, 3.4761e-05, 7.6990e-05, 1.6528e-04, 1.6156e-04, 4.6923e-04
