h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
2.0440e-01, 5.7186e-03, 5.7186e-03, 5.7186e-03, 5.7186e-03, 6.4557e-03, 6.4557e-03, 6.4557e-03, 6.4557e-03, 9.9034e-03, 9.9034e-03, 9.9034e-03, 9.9034e-03
1.0208e-01, 5.2951e-03, 5.2951e-03, 5.2951e-03, 5.2951e-03, 6.0079e-03, 6.0079e-03, 6.0079e-03, 6.0079e-03, 9.2293e-03, 9.2293e-03, 9.2293e-03, 9.2293e-03
5.1258e-02, 4.0744e-03, 4.0744e-03, 4.0744e-03, 4.0744e-03, 4.6419e-03, 4.6419e-03, 4.6419e-03, 4.6419e-03, 7.0953e-03, 7.0953e-03, 7.0953e-03, 7.0953e-03
2.5679e-02, 2.6911e-03, 2.6911e-03, 2.6911e-03, 2.6911e-03, 3.0733e-03, 3.0733e-03, 3.0733e-03, 3.0733e-03, 4.7072e-03, 4.7072e-03, 4.7072e-03, 4.7072e-03
