h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
0.2,   1.0579e-03, 2.2545e-03, 2.0240e-03, 4.1529e-03, 3.3068e-03, 6.7054e-03, 6.0444e-03, 1.4261e-02, 2.9003e-02, 5.0292e-02, 4.5376e-02, 1.5071e-01
0.1,   2.0973e-04, 4.2387e-04, 4.1130e-04, 8.3134e-04, 6.5702e-04, 1.3127e-03, 1.2984e-03, 2.8467e-03, 6.4069e-03, 1.1325e-02, 1.0824e-02, 3.3905e-02
0.05,  3.8513e-05, 7.4626e-05, 8.0859e-05, 1.5752e-04, 1.2022e-04, 2.2075e-04, 2.4791e-04, 5.0418e-04, 1.3639e-03, 1.9768e-03, 2.0834e-03, 6.5546e-03
0.025, 8.0450e-06, 1.4871e-05, 1.7828e-05, 3.2749e-05, 2.4945e-05, 4.2256e-05, 5.3605e-05, 9.9238e-05, 2.8346e-04, 3.9322e-04, 4.3446e-04, 1.3530e-03
