h, rhoL1, rhovxL1, rhovyL1, eL1, rhoL2, rhovxL2, rhovyL2, eL2, rhoLinf, rhovxLinf, rhovyLinf, eLinf
2.0440e-01, 3.1952e-03, 3.1952e-03, 3.1952e-03, 3.1952e-03, 3.6436e-03, 3.6436e-03, 3.6436e-03, 3.6436e-03, 6.1821e-03, 6.1821e-03, 6.1821e-03, 6.1821e-03
1.0208e-01, 7.4588e-04, 7.4588e-04, 7.4588e-04, 7.4588e-04, 8.4647e-04, 8.4647e-04, 8.4647e-04, 8.4647e-04, 1.7660e-03, 1.7660e-03, 1.7660e-03, 1.7660e-03
5.1258e-02, 1.3404e-04, 1.3404e-04, 1.3404e-04, 1.3404e-04, 1.5215e-04, 1.5215e-04, 1.5215e-04, 1.5215e-04, 3.8857e-04, 3.8857e-04, 3.8857e-04, 3.8857e-04
2.5679e-02, 2.9169e-05, 2.9169e-05, 2.9169e-05, 2.9169e-05, 3.2957e-05, 3.2957e-05, 3.2957e-05, 3.2957e-05, 9.6013e-05, 9.6013e-05, 9.6013e-05, 9.6013e-05
